,Star_name,Distance,Mass,Radius,name,year_discovered,discoverer,distance_from_planet (km),diameter (km),orbital_period,host_planet
78,S Doradus,"0169,000",24,380
79,UY Scuti,"05,100",7–10,755,Pasiphae,1908,P. Melotte,"23,500,000",36,735,Jupiter
80,Barnard's Star,05.98,0.14,0.20
81,Luhman 16,06.52,0.04,?,Pasithee,2001,"S. Sheppard, D. Jewitt, & J. Kleyna","23,029,000",2,715,Jupiter
82,Proxima Centauri,04.25,0.12,0.15
83,KIC 8462852,"01,470",1.43,1.58,Praxidike,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier","21,147,000",6.8,632,Jupiter
84,R136a1,"0163,000",290,32
85,Melnick 42,"0163,000",189,21.1,Sinope,1914,S. Nicholson,"23,700,700",28,758,Jupiter
86,WR 102,"018,134",19,0.39
87,VFTS 352,"0164,000",57.48,14.47,Sponde,2001,"S. Sheppard, D. Jewitt, & J. Kleyna","23,808,000",2,732,Jupiter
88,YBP 1194,"02,772",1.01,0.99
89,Gliese 1214,047.5,0.16,0.21,S/2000 J11,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier","12,555,000",4.0,284.3,Jupiter
90,NML Cygni,"05,251",50,"1,640 - 2,770"
91,VB 10,018.72,0.075,0.10,S/2003 J2,2003,"S. Sheppard, D. Jewitt, & J. Kleyna","28,570,410",2,982.5,Jupiter
92,WOH G64,"0163,000",<20,"1,540 - 1,730"
93,TRAPPIST-1,039.6,0.089,0.12,S/2003 J3,2003,"S. Sheppard, D. Jewitt, & J. Kleyna","18,339,885",2,504.0,Jupiter
94,2MASS J0523-1403,040.3,0.07,0.086
95,WISE 0855−0714,07.27,0.003,?,S/2003 J4,2003,"S. Sheppard, D. Jewitt, & J. Kleyna","23,257,920",2,723.2,Jupiter
96,Icarus,"014,400,000,000",33,?
